x,y,file1,line1,file2,line2
18,18,unknown file,unknown line,unknown file,unknown line
18,21,unknown file,unknown line,unknown file,unknown line
18,24,unknown file,unknown line,unknown file,unknown line
18,27,unknown file,unknown line,unknown file,unknown line
18,30,unknown file,unknown line,unknown file,unknown line
18,33,unknown file,unknown line,unknown file,unknown line
18,36,unknown file,unknown line,unknown file,unknown line
18,37,unknown file,unknown line,unknown file,unknown line
18,47,unknown file,unknown line,unknown file,unknown line
18,50,unknown file,unknown line,unknown file,unknown line
18,53,unknown file,unknown line,unknown file,unknown line
18,56,unknown file,unknown line,unknown file,unknown line
18,59,unknown file,unknown line,unknown file,unknown line
18,62,unknown file,unknown line,unknown file,unknown line
18,65,unknown file,unknown line,unknown file,unknown line
18,68,unknown file,unknown line,unknown file,unknown line
18,71,unknown file,unknown line,unknown file,unknown line
18,74,unknown file,unknown line,unknown file,unknown line
18,75,unknown file,unknown line,unknown file,unknown line
18,85,unknown file,unknown line,unknown file,unknown line
18,88,unknown file,unknown line,unknown file,unknown line
18,91,unknown file,unknown line,unknown file,unknown line
18,94,unknown file,unknown line,unknown file,unknown line
18,97,unknown file,unknown line,unknown file,unknown line
18,100,unknown file,unknown line,unknown file,unknown line
18,103,unknown file,unknown line,unknown file,unknown line
18,106,unknown file,unknown line,unknown file,unknown line
18,109,unknown file,unknown line,unknown file,unknown line
18,112,unknown file,unknown line,unknown file,unknown line
18,113,unknown file,unknown line,unknown file,unknown line
18,123,unknown file,unknown line,unknown file,unknown line
18,126,unknown file,unknown line,unknown file,unknown line
18,129,unknown file,unknown line,unknown file,unknown line
18,132,unknown file,unknown line,unknown file,unknown line
18,135,unknown file,unknown line,unknown file,unknown line
18,138,unknown file,unknown line,unknown file,unknown line
18,141,unknown file,unknown line,unknown file,unknown line
18,144,unknown file,unknown line,unknown file,unknown line
18,147,unknown file,unknown line,unknown file,unknown line
18,150,unknown file,unknown line,unknown file,unknown line
18,151,unknown file,unknown line,unknown file,unknown line
19,19,unknown file,unknown line,unknown file,unknown line
19,57,unknown file,unknown line,unknown file,unknown line
19,95,unknown file,unknown line,unknown file,unknown line
19,133,unknown file,unknown line,unknown file,unknown line
20,20,unknown file,unknown line,unknown file,unknown line
20,58,unknown file,unknown line,unknown file,unknown line
20,96,unknown file,unknown line,unknown file,unknown line
20,134,unknown file,unknown line,unknown file,unknown line
21,9,unknown file,unknown line,unknown file,unknown line
21,12,unknown file,unknown line,unknown file,unknown line
21,15,unknown file,unknown line,unknown file,unknown line
21,18,unknown file,unknown line,unknown file,unknown line
21,21,unknown file,unknown line,unknown file,unknown line
21,24,unknown file,unknown line,unknown file,unknown line
21,27,unknown file,unknown line,unknown file,unknown line
21,30,unknown file,unknown line,unknown file,unknown line
21,33,unknown file,unknown line,unknown file,unknown line
21,36,unknown file,unknown line,unknown file,unknown line
21,37,unknown file,unknown line,unknown file,unknown line
21,47,unknown file,unknown line,unknown file,unknown line
21,50,unknown file,unknown line,unknown file,unknown line
21,53,unknown file,unknown line,unknown file,unknown line
21,56,unknown file,unknown line,unknown file,unknown line
21,59,unknown file,unknown line,unknown file,unknown line
21,62,unknown file,unknown line,unknown file,unknown line
21,65,unknown file,unknown line,unknown file,unknown line
21,68,unknown file,unknown line,unknown file,unknown line
21,71,unknown file,unknown line,unknown file,unknown line
21,74,unknown file,unknown line,unknown file,unknown line
21,75,unknown file,unknown line,unknown file,unknown line
21,85,unknown file,unknown line,unknown file,unknown line
21,88,unknown file,unknown line,unknown file,unknown line
21,91,unknown file,unknown line,unknown file,unknown line
21,94,unknown file,unknown line,unknown file,unknown line
21,97,unknown file,unknown line,unknown file,unknown line
21,100,unknown file,unknown line,unknown file,unknown line
21,103,unknown file,unknown line,unknown file,unknown line
21,106,unknown file,unknown line,unknown file,unknown line
21,109,unknown file,unknown line,unknown file,unknown line
21,112,unknown file,unknown line,unknown file,unknown line
21,113,unknown file,unknown line,unknown file,unknown line
21,123,unknown file,unknown line,unknown file,unknown line
21,126,unknown file,unknown line,unknown file,unknown line
21,129,unknown file,unknown line,unknown file,unknown line
21,132,unknown file,unknown line,unknown file,unknown line
21,135,unknown file,unknown line,unknown file,unknown line
21,138,unknown file,unknown line,unknown file,unknown line
21,141,unknown file,unknown line,unknown file,unknown line
21,144,unknown file,unknown line,unknown file,unknown line
21,147,unknown file,unknown line,unknown file,unknown line
21,150,unknown file,unknown line,unknown file,unknown line
21,151,unknown file,unknown line,unknown file,unknown line
22,22,unknown file,unknown line,unknown file,unknown line
22,60,unknown file,unknown line,unknown file,unknown line
22,98,unknown file,unknown line,unknown file,unknown line
22,136,unknown file,unknown line,unknown file,unknown line
23,23,unknown file,unknown line,unknown file,unknown line
23,61,unknown file,unknown line,unknown file,unknown line
23,99,unknown file,unknown line,unknown file,unknown line
23,137,unknown file,unknown line,unknown file,unknown line
24,9,unknown file,unknown line,unknown file,unknown line
24,12,unknown file,unknown line,unknown file,unknown line
24,15,unknown file,unknown line,unknown file,unknown line
24,18,unknown file,unknown line,unknown file,unknown line
24,21,unknown file,unknown line,unknown file,unknown line
24,24,unknown file,unknown line,unknown file,unknown line
24,27,unknown file,unknown line,unknown file,unknown line
24,30,unknown file,unknown line,unknown file,unknown line
24,33,unknown file,unknown line,unknown file,unknown line
24,36,unknown file,unknown line,unknown file,unknown line
24,37,unknown file,unknown line,unknown file,unknown line
24,47,unknown file,unknown line,unknown file,unknown line
24,50,unknown file,unknown line,unknown file,unknown line
24,53,unknown file,unknown line,unknown file,unknown line
24,56,unknown file,unknown line,unknown file,unknown line
24,59,unknown file,unknown line,unknown file,unknown line
24,62,unknown file,unknown line,unknown file,unknown line
24,65,unknown file,unknown line,unknown file,unknown line
24,68,unknown file,unknown line,unknown file,unknown line
24,71,unknown file,unknown line,unknown file,unknown line
24,74,unknown file,unknown line,unknown file,unknown line
24,75,unknown file,unknown line,unknown file,unknown line
24,85,unknown file,unknown line,unknown file,unknown line
24,88,unknown file,unknown line,unknown file,unknown line
24,91,unknown file,unknown line,unknown file,unknown line
24,94,unknown file,unknown line,unknown file,unknown line
24,97,unknown file,unknown line,unknown file,unknown line
24,100,unknown file,unknown line,unknown file,unknown line
24,103,unknown file,unknown line,unknown file,unknown line
24,106,unknown file,unknown line,unknown file,unknown line
24,109,unknown file,unknown line,unknown file,unknown line
24,112,unknown file,unknown line,unknown file,unknown line
24,113,unknown file,unknown line,unknown file,unknown line
24,123,unknown file,unknown line,unknown file,unknown line
24,126,unknown file,unknown line,unknown file,unknown line
24,129,unknown file,unknown line,unknown file,unknown line
24,132,unknown file,unknown line,unknown file,unknown line
24,135,unknown file,unknown line,unknown file,unknown line
24,138,unknown file,unknown line,unknown file,unknown line
24,141,unknown file,unknown line,unknown file,unknown line
24,144,unknown file,unknown line,unknown file,unknown line
24,147,unknown file,unknown line,unknown file,unknown line
24,150,unknown file,unknown line,unknown file,unknown line
24,151,unknown file,unknown line,unknown file,unknown line
25,25,unknown file,unknown line,unknown file,unknown line
25,63,unknown file,unknown line,unknown file,unknown line
25,101,unknown file,unknown line,unknown file,unknown line
25,139,unknown file,unknown line,unknown file,unknown line
26,26,unknown file,unknown line,unknown file,unknown line
